record_id,movie_id,year,title_zh_cn,title_ja,category,language,evidence_type,source,download_provider,creator,original_pack,original_path,original_filename,archive_member_filename,archive_member_name_raw,organized_path,organized_filename,extension,size_bytes,sha256_before,sha256_after,byte_identical,classification_confidence,classification_reason,cue_count,encoding_observed,header_title,notes
EV0017,M01,1980,大雄的恐龙,のび太の恐竜,01_JA_SOURCE,ja-JP,source,WOWOW,Unknown,Conan06,P01：老 25 部日文原字幕 WOWOW 高清版本抽出的日语字幕，覆盖 1980–2004 全 25 部.zip,[Conan06] Eiga Doraemon - 01 Nobita no Kyouryuu (1980) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 01 Nobita no Kyouryuu (1980) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 01 Nobita no Kyouryuu (1980) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 01 Nobita no Kyouryuu (1980) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,M01_1980_大雄的恐龙/01_JA_SOURCE/M01.1980.ja-JP.source.WOWOW.Conan06.ass,M01.1980.ja-JP.source.WOWOW.Conan06.ass,.ass,178345,85fdda9a63cd0b34b76f3e20ac4e3aa43fa57f4a7d6690985a6358f68efb3e96,85fdda9a63cd0b34b76f3e20ac4e3aa43fa57f4a7d6690985a6358f68efb3e96,True,high,"Filename explicitly identifies Eiga Doraemon movie index/year, WOWOW release, Japanese subtitle suffix, and Conan06 release tag; index/year cross-check the stable movie catalog.",1610,UTF-8-SIG,Default Aegisub file,"Creator token follows the explicit [Conan06] release tag, consistent with the requested naming example."
EV0062,M01,1980,大雄的恐龙,のび太の恐竜,02_ZH_JP_AUDIO,zh-CN,jp-audio,Fansub,Unknown,漫游字幕组,P03：1980–2016 中文底稿大包 [Doraemon_Movie][01-37][DVD&BD][Sub].zip,01[1980]大雄的恐龙/01[1980]大雄的恐龙.sc.ass,01[1980]大雄的恐龙.sc.ass,01[1980]大雄的恐龙.sc.ass,01[1980]┤≤╨█╡─┐╓┴·/01[1980]┤≤╨█╡─┐╓┴·.sc.ass,M01_1980_大雄的恐龙/02_ZH_JP_AUDIO/M01.1980.zh-CN.jp-audio.Fansub.漫游字幕组.ass,M01.1980.zh-CN.jp-audio.Fansub.漫游字幕组.ass,.ass,70310,9cf34440be5a68ec1920cd06b9816a65400f4063bbd0252e14f87a01ae664634,9cf34440be5a68ec1920cd06b9816a65400f4063bbd0252e14f87a01ae664634,True,medium,"The source pack is explicitly a 1980–2016 Chinese draft subtitle collection; SC/TC filename variants and ASS headers identify Chinese translation evidence. No evidence establishes Taiwan official, Taiwan dub, or mainland official provenance, so those categories are intentionally not used.",824,UTF-8-SIG,[1980]大雄的恐龙,"Language tag follows the source .sc/.tc branch. zh-TW here records the Traditional-Chinese branch only; it is NOT evidence of Taiwan origin, official localization, or Taiwan-dub wording."
EV0037,M01,1980,大雄的恐龙,のび太の恐竜,02_ZH_JP_AUDIO,zh-CN,jp-audio,WOWOWCN,Unknown,漫游字幕组,P02：老 25 部 WOWOW 对轴简中 哆啦A梦大山版剧场版（匹配WOWOW高清版）.rar,01[1980]大雄的恐龙.ass,01[1980]大雄的恐龙.ass,01[1980]大雄的恐龙.ass,01[1980]大雄的恐龙.ass,M01_1980_大雄的恐龙/02_ZH_JP_AUDIO/M01.1980.zh-CN.jp-audio.WOWOWCN.漫游字幕组.ass,M01.1980.zh-CN.jp-audio.WOWOWCN.漫游字幕组.ass,.ass,69760,d0b568fa45f7ca608ac0f2e39a6ce931fe30de417767662cdb30e632f46fa9e8,d0b568fa45f7ca608ac0f2e39a6ce931fe30de417767662cdb30e632f46fa9e8,True,high,Pack name and included note explicitly state these are Simplified Chinese subtitles retimed to match the WOWOW HD Japanese-source releases; movie index/year are explicit in each filename.,824,UTF-8-SIG,[1980]大雄的恐龙,source=WOWOWCN denotes WOWOW-aligned Chinese evidence (not a claim that WOWOW authored the Chinese translation). creator records the ASS Original Script credit; the timing-adapter identity is not stated in the source pack.
EV0063,M01,1980,大雄的恐龙,のび太の恐竜,02_ZH_JP_AUDIO,zh-TW,jp-audio,Fansub,Unknown,漫游字幕组,P03：1980–2016 中文底稿大包 [Doraemon_Movie][01-37][DVD&BD][Sub].zip,01[1980]大雄的恐龙/01[1980]大雄的恐龙.tc.ass,01[1980]大雄的恐龙.tc.ass,01[1980]大雄的恐龙.tc.ass,01[1980]┤≤╨█╡─┐╓┴·/01[1980]┤≤╨█╡─┐╓┴·.tc.ass,M01_1980_大雄的恐龙/02_ZH_JP_AUDIO/M01.1980.zh-TW.jp-audio.Fansub.漫游字幕组.ass,M01.1980.zh-TW.jp-audio.Fansub.漫游字幕组.ass,.ass,70310,a22ad946bc076af96d04c891e07c2580ce153582ab366b1d594031b568d4abcc,a22ad946bc076af96d04c891e07c2580ce153582ab366b1d594031b568d4abcc,True,medium,"The source pack is explicitly a 1980–2016 Chinese draft subtitle collection; SC/TC filename variants and ASS headers identify Chinese translation evidence. No evidence establishes Taiwan official, Taiwan dub, or mainland official provenance, so those categories are intentionally not used.",824,UTF-8-SIG,[1980]大雄的恐龙,"Language tag follows the source .sc/.tc branch. zh-TW here records the Traditional-Chinese branch only; it is NOT evidence of Taiwan origin, official localization, or Taiwan-dub wording."
EV0018,M02,1981,大雄的宇宙开拓史,のび太の宇宙開拓史,01_JA_SOURCE,ja-JP,source,WOWOW,Unknown,Conan06,P01：老 25 部日文原字幕 WOWOW 高清版本抽出的日语字幕，覆盖 1980–2004 全 25 部.zip,[Conan06] Eiga Doraemon - 02 Nobita no Uchuu Kaitakushi (1981) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 02 Nobita no Uchuu Kaitakushi (1981) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 02 Nobita no Uchuu Kaitakushi (1981) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 02 Nobita no Uchuu Kaitakushi (1981) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,M02_1981_大雄的宇宙开拓史/01_JA_SOURCE/M02.1981.ja-JP.source.WOWOW.Conan06.ass,M02.1981.ja-JP.source.WOWOW.Conan06.ass,.ass,240162,9ed9db0cce3566ad9b1988fa13bd05783c5495be6c14cf940e5d75b16c3990e0,9ed9db0cce3566ad9b1988fa13bd05783c5495be6c14cf940e5d75b16c3990e0,True,high,"Filename explicitly identifies Eiga Doraemon movie index/year, WOWOW release, Japanese subtitle suffix, and Conan06 release tag; index/year cross-check the stable movie catalog.",2153,UTF-8-SIG,Default Aegisub file,"Creator token follows the explicit [Conan06] release tag, consistent with the requested naming example."
EV0064,M02,1981,大雄的宇宙开拓史,のび太の宇宙開拓史,02_ZH_JP_AUDIO,zh-CN,jp-audio,Fansub,Unknown,漫游字幕组,P03：1980–2016 中文底稿大包 [Doraemon_Movie][01-37][DVD&BD][Sub].zip,02[1981]大雄的宇宙开拓史/02[1981]大雄的宇宙开拓史.sc.ass,02[1981]大雄的宇宙开拓史.sc.ass,02[1981]大雄的宇宙开拓史.sc.ass,02[1981]┤≤╨█╡─╙ε╓µ┐¬═╪╩╖/02[1981]┤≤╨█╡─╙ε╓µ┐¬═╪╩╖.sc.ass,M02_1981_大雄的宇宙开拓史/02_ZH_JP_AUDIO/M02.1981.zh-CN.jp-audio.Fansub.漫游字幕组.ass,M02.1981.zh-CN.jp-audio.Fansub.漫游字幕组.ass,.ass,111850,bf261c60c3fb25945008c46381e67ee01dfa6aeb7d6c06c5d979f006a1e9f090,bf261c60c3fb25945008c46381e67ee01dfa6aeb7d6c06c5d979f006a1e9f090,True,medium,"The source pack is explicitly a 1980–2016 Chinese draft subtitle collection; SC/TC filename variants and ASS headers identify Chinese translation evidence. No evidence establishes Taiwan official, Taiwan dub, or mainland official provenance, so those categories are intentionally not used.",1334,UTF-8-SIG,[1981]大雄的宇宙开拓史,"Language tag follows the source .sc/.tc branch. zh-TW here records the Traditional-Chinese branch only; it is NOT evidence of Taiwan origin, official localization, or Taiwan-dub wording."
EV0038,M02,1981,大雄的宇宙开拓史,のび太の宇宙開拓史,02_ZH_JP_AUDIO,zh-CN,jp-audio,WOWOWCN,Unknown,漫游字幕组,P02：老 25 部 WOWOW 对轴简中 哆啦A梦大山版剧场版（匹配WOWOW高清版）.rar,02[1981]大雄的宇宙开拓史.ass,02[1981]大雄的宇宙开拓史.ass,02[1981]大雄的宇宙开拓史.ass,02[1981]大雄的宇宙开拓史.ass,M02_1981_大雄的宇宙开拓史/02_ZH_JP_AUDIO/M02.1981.zh-CN.jp-audio.WOWOWCN.漫游字幕组.ass,M02.1981.zh-CN.jp-audio.WOWOWCN.漫游字幕组.ass,.ass,110783,21accb3c49a6cb1b8ce379c7e2c1f594084330afdf37d6a072d150688477fe3a,21accb3c49a6cb1b8ce379c7e2c1f594084330afdf37d6a072d150688477fe3a,True,high,Pack name and included note explicitly state these are Simplified Chinese subtitles retimed to match the WOWOW HD Japanese-source releases; movie index/year are explicit in each filename.,1334,UTF-8-SIG,[1981]大雄的宇宙开拓史,source=WOWOWCN denotes WOWOW-aligned Chinese evidence (not a claim that WOWOW authored the Chinese translation). creator records the ASS Original Script credit; the timing-adapter identity is not stated in the source pack.
EV0065,M02,1981,大雄的宇宙开拓史,のび太の宇宙開拓史,02_ZH_JP_AUDIO,zh-TW,jp-audio,Fansub,Unknown,漫游字幕组,P03：1980–2016 中文底稿大包 [Doraemon_Movie][01-37][DVD&BD][Sub].zip,02[1981]大雄的宇宙开拓史/02[1981]大雄的宇宙开拓史.tc.ass,02[1981]大雄的宇宙开拓史.tc.ass,02[1981]大雄的宇宙开拓史.tc.ass,02[1981]┤≤╨█╡─╙ε╓µ┐¬═╪╩╖/02[1981]┤≤╨█╡─╙ε╓µ┐¬═╪╩╖.tc.ass,M02_1981_大雄的宇宙开拓史/02_ZH_JP_AUDIO/M02.1981.zh-TW.jp-audio.Fansub.漫游字幕组.ass,M02.1981.zh-TW.jp-audio.Fansub.漫游字幕组.ass,.ass,111850,609a24784faab3264d5ae9bc196f5f8156cb812cc10dabf94380cf1d24748b82,609a24784faab3264d5ae9bc196f5f8156cb812cc10dabf94380cf1d24748b82,True,medium,"The source pack is explicitly a 1980–2016 Chinese draft subtitle collection; SC/TC filename variants and ASS headers identify Chinese translation evidence. No evidence establishes Taiwan official, Taiwan dub, or mainland official provenance, so those categories are intentionally not used.",1334,UTF-8-SIG,[1981]大雄的宇宙开拓史,"Language tag follows the source .sc/.tc branch. zh-TW here records the Traditional-Chinese branch only; it is NOT evidence of Taiwan origin, official localization, or Taiwan-dub wording."
EV0019,M03,1982,大雄的大魔境,のび太の大魔境,01_JA_SOURCE,ja-JP,source,WOWOW,Unknown,Conan06,P01：老 25 部日文原字幕 WOWOW 高清版本抽出的日语字幕，覆盖 1980–2004 全 25 部.zip,[Conan06] Eiga Doraemon - 03 Nobita no Daimakyou (1982) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 03 Nobita no Daimakyou (1982) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 03 Nobita no Daimakyou (1982) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,[Conan06] Eiga Doraemon - 03 Nobita no Daimakyou (1982) (WOWOW 1280x720 AVC 10bit AAC1.0+DD2.0 Chap).jpn.ass,M03_1982_大雄的大魔境/01_JA_SOURCE/M03.1982.ja-JP.source.WOWOW.Conan06.ass,M03.1982.ja-JP.source.WOWOW.Conan06.ass,.ass,243761,9b9c2041a09b8676f50af12fc012324accc42b9d8451b1649102397af9e92a6b,9b9c2041a09b8676f50af12fc012324accc42b9d8451b1649102397af9e92a6b,True,high,"Filename explicitly identifies Eiga Doraemon movie index/year, WOWOW release, Japanese subtitle suffix, and Conan06 release tag; index/year cross-check the stable movie catalog.",2216,UTF-8-SIG,Default Aegisub file,"Creator token follows the explicit [Conan06] release tag, consistent with the requested naming example."
EV0066,M03,1982,大雄的大魔境,のび太の大魔境,02_ZH_JP_AUDIO,zh-CN,jp-audio,Fansub,Unknown,漫游字幕组,P03：1980–2016 中文底稿大包 [Doraemon_Movie][01-37][DVD&BD][Sub].zip,03[1982]大雄在大魔境/03[1982]大雄在大魔境.sc.ass,03[1982]大雄在大魔境.sc.ass,03[1982]大雄在大魔境.sc.ass,03[1982]┤≤╨█╘┌┤≤─º╛│/03[1982]┤≤╨█╘┌┤≤─º╛│.sc.ass,M03_1982_大雄的大魔境/02_ZH_JP_AUDIO/M03.1982.zh-CN.jp-audio.Fansub.漫游字幕组.ass,M03.1982.zh-CN.jp-audio.Fansub.漫游字幕组.ass,.ass,99993,63ad2f12ddd7444610d90fedea49773fd3b7008555212423a378c9d012e8159b,63ad2f12ddd7444610d90fedea49773fd3b7008555212423a378c9d012e8159b,True,medium,"The source pack is explicitly a 1980–2016 Chinese draft subtitle collection; SC/TC filename variants and ASS headers identify Chinese translation evidence. No evidence establishes Taiwan official, Taiwan dub, or mainland official provenance, so those categories are intentionally not used.",1189,UTF-8-SIG,[1982]大雄在大魔境,"Language tag follows the source .sc/.tc branch. zh-TW here records the Traditional-Chinese branch only; it is NOT evidence of Taiwan origin, official localization, or Taiwan-dub wording."
